"Energieverbruik particuliere woningen; woningtype en regio's"
""
"";"";"";"Onderwerp"
"";"";"";"Gemiddeld aardgasverbruik";"Gemiddelde elektriciteitslevering";"Gemiddelde netto elektriciteitslevering";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"kWh";"%"
"Totaal woningen";"Nederland";"2020";"1120";"2760";"";"6,3"
"Totaal woningen";"Nederland";"2021";"1250";"2810";"2480";"6,3"
"Totaal woningen";"Nederland";"2022";"970";"2630";"2200";"6,5"
"Totaal woningen";"Nederland";"2023*";"820";"2500";"1920";"6,8"
"Totaal woningen";"Zuid-Holland (PV)";"2020";"980";"2620";"";"7,6"
"Totaal woningen";"Zuid-Holland (PV)";"2021";"1100";"2680";"2480";"7,6"
"Totaal woningen";"Zuid-Holland (PV)";"2022";"850";"2510";"2230";"8,0"
"Totaal woningen";"Zuid-Holland (PV)";"2023*";"730";"2360";"1980";"8,2"
"Totaal woningen";"Limburg (PV)";"2020";"1270";"2910";"";"."
"Totaal woningen";"Limburg (PV)";"2021";"1430";"2940";"2460";"."
"Totaal woningen";"Limburg (PV)";"2022";"1110";"2790";"2170";"1,4"
"Totaal woningen";"Limburg (PV)";"2023*";"920";"2670";"1880";"1,5"
"Totaal woningen";"Achtkarspelen";"2020";"1460";"2770";"";"."
"Totaal woningen";"Achtkarspelen";"2021";"1630";"2840";"2430";"."
"Totaal woningen";"Achtkarspelen";"2022";"1260";"2680";"2110";"."
"Totaal woningen";"Achtkarspelen";"2023*";"1040";"2590";"1810";"."
"Totaal woningen";"Amsterdam";"2020";"770";"2090";"";"14,7"
"Totaal woningen";"Amsterdam";"2021";"880";"2130";"2090";"14,7"
"Totaal woningen";"Amsterdam";"2022";"680";"1990";"1930";"16,7"
"Totaal woningen";"Amsterdam";"2023*";"600";"1880";"1800";"17,2"
"Totaal woningen";"Borne";"2020";"1240";"3050";"";"."
"Totaal woningen";"Borne";"2021";"1470";"3090";"2580";"."
"Totaal woningen";"Borne";"2022";"1140";"2900";"2170";"."
"Totaal woningen";"Borne";"2023*";"940";"2780";"1800";"."
"Totaal woningen";"'s-Gravenhage (gemeente)";"2020";"950";"2330";"";"9,4"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2021";"1070";"2400";"2320";"9,2"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2022";"840";"2260";"2150";"9,8"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2023*";"730";"2130";"1990";"9,9"
"Totaal woningen";"Zevenaar";"2020";"1190";"2970";"";"3,3"
"Totaal woningen";"Zevenaar";"2021";"1330";"2990";"2530";"3,5"
"Totaal woningen";"Zevenaar";"2022";"1030";"2830";"2230";"3,9"
"Totaal woningen";"Zevenaar";"2023*";"850";"2720";"1940";"4,0"
